"Restaurant Name","Category","Item Name","Quantity","Price","Subtotal"
"Mad Yolks","Modifiers","Sausage","5","2.0","10.0"
"Mad Yolks","Modifiers","Bacon","4","2.0","8.0"
"Mad Yolks","Modifiers","Avocado","3","2.0","6.0"
"Mad Yolks","Modifiers","Fresh chillis","2","0.0","0.0"
"Mad Yolks","Modifiers","Extra Cheddar","1","1.0","1.0"
"Mad Yolks","Modifiers","Pickles","1","0.5","0.5"
"Mad Yolks","Modifiers","Pudding","1","2.0","2.0"
"Mad Yolks","All Day Brunch","Mad Yolk","8","7.0","56.0"
"Mad Yolks","All Day Brunch","Bad Yolk","8","9.0","72.0"
"Mad Yolks","All Day Brunch","Bacon Classic","6","7.5","45.0"
"Mad Yolks","Fries/Sides","Hand Cut Fries","5","4.0","20.0"
"Mad Yolks","Fries/Sides","Loaded Fries","5","6.5","32.5"
"Mad Yolks","Burgers","Buff Yolk","4","10.0","40.0"
"Mad Yolks","Drinks","Fanta","4","2.0","8.0"
"Mad Yolks","All Day Brunch","Fresh Yolk","4","7.5","30.0"
"Mad Yolks","All Day Brunch","Sausage Classic","3","7.5","22.5"
"Mad Yolks","Nachos","Veggie Nachos","3","8.0","24.0"
"Mad Yolks","Nachos","Nachos Con-Carnage","2","9.0","18.0"
"Mad Yolks","Drinks","San Pellegrino Blood Orange","2","2.5","5.0"
"Mad Yolks","Fries/Sides","Smokey Fries","2","6.5","13.0"
"Mad Yolks","Drinks","San Pellegrino Lemon","4","2.5","10.0"
"Mad Yolks","Burgers","Yolko Ono","1","10.0","10.0"
